"gene name","gene symbol","entrez"
"kinesin family member 9","KIF9",64147
"chromosome 17 open reading frame 75","C17orf75",64149
"DIO3 opposite strand/antisense RNA (non-protein coding)","DIO3OS",64150
"non-SMC condensin I complex, subunit G","NCAPG",64151
"endoplasmic reticulum aminopeptidase 2","ERAP2",64167
"N-terminal EF-hand calcium binding protein 1","NECAB1",64168
"caspase recruitment domain family, member 9","CARD9",64170
"O-sialoglycoprotein endopeptidase-like 1","OSGEPL1",64172
"spermatogenesis associated 1","SPATA1",1.00506e+08
"dipeptidase 2","DPEP2",64174
"leucine proline-enriched proteoglycan (leprecan) 1","LEPRE1",64175
"dipeptidase 3","DPEP3",64180
"epididymal protein 3B","EDDM3B",64184
"interferon regulatory factor 2 binding protein-like","IRF2BPL",64207
"popeye domain containing 3","POPDC3",64208
"MMS19 nucleotide excision repair homolog (S. cerevisiae)","MMS19",64210
"LIM homeobox 5","LHX5",64211
"DnaJ (Hsp40) homolog, subfamily C, member 1","DNAJC1",64215
"transcription factor B2, mitochondrial","TFB2M",64216
"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A","SEMA4A",64218
"praja ring finger 1, E3 ubiquitin protein ligase","PJA1",64219
"stimulated by retinoic acid gene 6 homolog (mouse)","STRA6",64220
"roundabout, axon guidance receptor, homolog 3 (Drosophila)","ROBO3",64221
"torsin family 3, member A","TOR3A",64222
"MTOR associated protein, LST8 homolog (S. cerevisiae)","MLST8",64223
"HERPUD family member 2","HERPUD2",64224
"atlastin GTPase 2","ATL2",64225
"membrane-spanning 4-domains, subfamily A, member 6A","MS4A6A",64231
"membrane-spanning 4-domains, subfamily A, member 5","MS4A5",64232
"PDZ and LIM domain 2 (mystique)","PDLIM2",64236
"ATP-binding cassette, sub-family G (WHITE), member 5","ABCG5",64240
"ATP-binding cassette, sub-family G (WHITE), member 8","ABCG8",64241
"PAP associated domain containing 5","PAPD5",64282
"190 kDa guanine nucleotide exchange factor","RGNEF",64283
"RAB17, member RAS oncogene family","RAB17",64284
"rhomboid 5 homolog 1 (Drosophila)","RHBDF1",64285
"zinc finger protein 323","ZNF323",64288
"nucleolar complex associated 3 homolog (S. cerevisiae)","NOC3L",64318
"fibrosin","FBRS",64319
"ring finger protein 25","RNF25",64320
"SRY (sex determining region Y)-box 17","SOX17",64321
"nuclear receptor binding SET domain protein 1","NSD1",64324
"ring finger and WD repeat domain 2, E3 ubiquitin protein ligase","RFWD2",64326
"limb region 1 homolog (mouse)","LMBR1",64327
"exportin 4","XPO4",64328
"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta","NFKBIZ",64332
"Rho GTPase activating protein 9","ARHGAP9",64333
"HCLS1 binding protein 3","HS1BP3",64342
"5-azacytidine induced 2","AZI2",64343
"hypoxia inducible factor 3, alpha subunit","HIF3A",64344
"nucleoredoxin","NXN",64359
"SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)","SIL1",64374
"IKAROS family zinc finger 4 (Eos)","IKZF4",64375
"IKAROS family zinc finger 5 (Pegasus)","IKZF5",64376
"carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8","CHST8",64377
"matrix metallopeptidase 25","MMP25",64386
"gremlin 2","GREM2",64388
"zinc finger, matrin-type 3","ZMAT3",64393
"germ cell-less homolog 1 (Drosophila)","GMCL1",64395
"germ cell-less homolog 1 (Drosophila) pseudogene 1","GMCL1P1",64396
"zinc finger protein 106 homolog (mouse)","ZFP106",64397
"membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)","MPP5",64398
"hedgehog interacting protein","HHIP",64399
"AKT interacting protein","AKTIP",64400
"cadherin 24, type 2","CDH24",64403
"cadherin 22, type 2","CDH22",64405
"regulator of G-protein signaling 18","RGS18",64407
"Williams-Beuren syndrome chromosome region 17","WBSCR17",64409
"kelch-like 25 (Drosophila)","KLHL25",64410
"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3","ARAP3",64411
"GDNF-inducible zinc finger protein 1","GZF1",64412
"chromosome 5 open reading frame 28","C5orf28",64417
"transmembrane protein 168","TMEM168",64418
"myotubularin related protein 14","MTMR14",64419
"sushi domain containing 1","SUSD1",64420
"DNA cross-link repair 1C","DCLRE1C",64421
"autophagy related 3","ATG3",64422
"inverted formin, FH2 and WH2 domain containing","INF2",64423
"polymerase (RNA) I polypeptide E, 53kDa","POLR1E",64425
"suppressor of defective silencing 3 homolog (S. cerevisiae)","SUDS3",64426
"tetratricopeptide repeat domain 31","TTC31",64427
"nuclear prelamin A recognition factor-like","NARFL",64428
"zinc finger, DHHC-type containing 6","ZDHHC6",64429
"chromosome 14 open reading frame 135","C14orf135",64430
"ARP6 actin-related protein 6 homolog (yeast)","ACTR6",64431
"mitochondrial ribosomal protein S25","MRPS25",64432
"nucleolar protein with MIF4G domain 1","NOM1",64434
"dynein, axonemal, intermediate chain 2","DNAI2",64446
"CUB and Sushi multiple domains 1","CSMD1",64478
"cytoplasmic polyadenylation element binding protein 1","CPEB1",64506
"tektin 3","TEKT3",64518
"aldehyde dehydrogenase 8 family, member A1","ALDH8A1",64577
"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4","NDST4",64579
"C-type lectin domain family 7, member A","CLEC7A",64581
"G protein-coupled receptor 135","GPR135",64582
"testis-specific transcript, Y-linked 15 (non-protein coding)","TTTY15",64595
"motile sperm domain containing 3","MOSPD3",64598
"GRB10 interacting GYF protein 1","GIGYF1",64599
"phospholipase A2, group IIF","PLA2G2F",64600
"vacuolar protein sorting 16 homolog (S. cerevisiae)","VPS16",64601
"early B-cell factor 2","EBF2",64641
"hippocampus abundant transcript 1","HIAT1",64645
"SPANX family, member D","SPANXD",64648
"cysteine-serine-rich nuclear protein 1","CSRNP1",64651
"SPANX family, member C","SPANXC",64663
"anaphase promoting complex subunit 1","ANAPC1",64682
"golgi reassembly stacking protein 1, 65kDa","GORASP1",64689
"cutaneous T-cell lymphoma-associated antigen 1","CTAGE1",64693
"transmembrane protease, serine 3","TMPRSS3",64699
"COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)","COPS7B",64708
"nuclear casein kinase and cyclin-dependent kinase substrate 1","NUCKS1",64710
"heparan sulfate (glucosamine) 3-O-sulfotransferase 6","HS3ST6",64711
"protein disulfide isomerase family A, member 2","PDIA2",64714
"unkempt homolog (Drosophila)-like","UNKL",64718
"WD repeat domain 13","WDR13",64743
"small ArfGAP2","SMAP2",64744
"methyltransferase like 17","METTL17",64745
"acyl-CoA binding domain containing 3","ACBD3",64746
"major facilitator superfamily domain containing 1","MFSD1",64747
"lipid phosphate phosphatase-related protein type 2","LPPR2",64748
"SMAD specific E3 ubiquitin protein ligase 2","SMURF2",64750
"coiled-coil domain containing 136","CCDC136",64753
"SET and MYND domain containing 3","SMYD3",64754
"chromosome 16 open reading frame 58","C16orf58",64755
"ATP synthase mitochondrial F1 complex assembly factor 1","ATPAF1",64756
"mitochondrial amidoxime reducing component 1","MARC1",64757
"tensin 3","TNS3",64759
"family with sequence similarity 160, member B2","FAM160B2",64760
"poly (ADP-ribose) polymerase family, member 12","PARP12",64761
"family with sequence similarity 59, member A","FAM59A",64762
"zinc finger protein 574","ZNF574",64763
"cAMP responsive element binding protein 3-like 2","CREB3L2",64764
"S100P binding protein","S100PBP",64766
"inositol 1,3,4,5,6-pentakisphosphate 2-kinase","IPPK",64768
"MYST/Esa1-associated factor 6","MEAF6",64769
"coiled-coil domain containing 14","CCDC14",64770
"chromosome 6 open reading frame 106","C6orf106",64771
"endo-beta-N-acetylglucosaminidase","ENGASE",64772
"PC-esterase domain containing 1A","PCED1A",64773
"chromosome 11 open reading frame 1","C11orf1",64776
"required for meiotic nuclear division 5 homolog B (S. cerevisiae)","RMND5B",64777
"fibronectin type III domain containing 3B","FNDC3B",64778
"methenyltetrahydrofolate synthetase domain containing","MTHFSD",64779
"microtubule associated monoxygenase, calponin and LIM domain containing 1","MICAL1",64780
"ceramide kinase","CERK",64781
"apoptosis enhancing nuclease","AEN",64782
"RNA binding motif protein 15","RBM15",64783
"CREB regulated transcription coactivator 3","CRTC3",64784
"GINS complex subunit 3 (Psf3 homolog)","GINS3",64785
"TBC1 domain family, member 15","TBC1D15",64786
"EPS8-like 2","EPS8L2",64787
"lipase maturation factor 1","LMF1",64788
"defects in morphology 1 homolog (S. cerevisiae)","DEM1",64789
"RAB, member RAS oncogene family-like 5","RABL5",64792
"centrosomal protein 85kDa","CEP85",64793
"DEAD (Asp-Glu-Ala-Asp) box polypeptide 31","DDX31",64794
"required for meiotic nuclear division 5 homolog A (S. cerevisiae)","RMND5A",64795
"DEP domain containing MTOR-interacting protein","DEPTOR",64798
"IQ motif containing H","IQCH",64799
"EF-hand calcium binding domain 6","EFCAB6",64800
"ARV1 homolog (S. cerevisiae)","ARV1",64801
"nicotinamide nucleotide adenylyltransferase 1","NMNAT1",64802
"purinergic receptor P2Y, G-protein coupled, 12","P2RY12",64805
"interleukin 25","IL25",64806
"cytochrome P450, family 3, subfamily A, polypeptide 43","CYP3A43",64816
"ELOVL fatty acid elongase 1","ELOVL1",64834
"kinesin light chain 2","KLC2",64837
"fibronectin type III domain containing 4","FNDC4",64838
"F-box and leucine-rich repeat protein 17","FBXL17",64839
"porcupine homolog (Drosophila)","PORCN",64840
"glucosamine-phosphate N-acetyltransferase 1","GNPNAT1",64841
"ISL LIM homeobox 2","ISL2",64843
"membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase","MARCH7",64844
"spermatogenesis associated 20","SPATA20",64847
"YTH domain containing 2","YTHDC2",64848
"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3","SLC13A3",64849
"alanine-glyoxylate aminotransferase 2-like 1","AGXT2L1",64850
"terminal uridylyl transferase 1, U6 snRNA-specific","TUT1",64852
"axin interactor, dorsalization associated","AIDA",64853
"ubiquitin specific peptidase 46","USP46",64854
"family with sequence similarity 129, member B","FAM129B",64855
"von Willebrand factor A domain containing 1","VWA1",64856
"pleckstrin homology domain containing, family G (with RhoGef domain) member 2","PLEKHG2",64857
"DNA cross-link repair 1B","DCLRE1B",64858
"nucleic acid binding protein 1","NABP1",64859
"armadillo repeat containing, X-linked 5","ARMCX5",64860
"methyltransferase like 4","METTL4",64863
"regulatory factor X, 7","RFX7",64864
"CUB domain containing protein 1","CDCP1",64866
"protocadherin 20","PCDH20",64881
"poly(A) polymerase gamma","PAPOLG",64895
"chromosome 12 open reading frame 43","C12orf43",64897
"lipin 3","LPIN3",64900
"RAN binding protein 17","RANBP17",64901
"alanine--glyoxylate aminotransferase 2","AGXT2",64902
"B-cell CLL/lymphoma 11B (zinc finger protein)","BCL11B",64919
"CAS1 domain containing 1","CASD1",64921
"leucine rich repeat containing 19","LRRC19",64922
"solute carrier family 30 (zinc transporter), member 5","SLC30A5",64924
"coiled-coil domain containing 71","CCDC71",64925
"RAS protein activator like 3","RASAL3",64926
"tetratricopeptide repeat domain 23","TTC23",64927
"mitochondrial ribosomal protein L14","MRPL14",64928
"stromal antigen 3-like 4","STAG3L4",64940
"5'-nucleotidase domain containing 2","NT5DC2",64943
"centromere protein H","CENPH",64946
"mitochondrial ribosomal protein S26","MRPS26",64949
"mitochondrial ribosomal protein S24","MRPS24",64951
"mitochondrial ribosomal protein S15","MRPS15",64960
"mitochondrial ribosomal protein S11","MRPS11",64963
"mitochondrial ribosomal protein S9","MRPS9",64965
"mitochondrial ribosomal protein S6","MRPS6",64968
"mitochondrial ribosomal protein S5","MRPS5",64969
"mitochondrial ribosomal protein L41","MRPL41",64975
"mitochondrial ribosomal protein L40","MRPL40",64976
"mitochondrial ribosomal protein L38","MRPL38",64978
"mitochondrial ribosomal protein L36","MRPL36",64979
"mitochondrial ribosomal protein L34","MRPL34",64981
"mitochondrial ribosomal protein L32","MRPL32",64983
"mitochondrial ribosomal protein L11","MRPL11",65003
"mitochondrial ribosomal protein L9","MRPL9",65005
"mitochondrial ribosomal protein L1","MRPL1",65008
"NDRG family member 4","NDRG4",65009
"solute carrier family 26, member 6","SLC26A6",65010
"solute carrier family 26, member 10","SLC26A10",65012
"PTEN induced putative kinase 1","PINK1",65018
"receptor accessory protein 1","REEP1",65055
"GC-rich promoter binding protein 1","GPBP1",65056
"adrenocortical dysplasia homolog (mouse)","ACD",65057
"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1","RAPH1",65059
"cyclin-dependent kinase 15","CDK15",65061
"transmembrane protein 237","TMEM237",65062
"neurobeachin-like 1","NBEAL1",65065
"reticulon 4 receptor","RTN4R",65078
"mitochondrial ribosomal protein L44","MRPL44",65080
"vacuolar protein sorting 33 homolog A (S. cerevisiae)","VPS33A",65082
"nucleolar protein family 6 (RNA-associated)","NOL6",65083
"transmembrane protein 135","TMEM135",65084
"jumonji domain containing 4","JMJD4",65094
"KRI1 homolog (S. cerevisiae)","KRI1",65095
"MARCKS-like 1","MARCKSL1",65108
"UPF3 regulator of nonsense transcripts homolog B (yeast)","UPF3B",65109
"UPF3 regulator of nonsense transcripts homolog A (yeast)","UPF3A",65110
"arginine/serine-rich coiled-coil 2","RSRC2",65117
"PRAME family member 1","PRAMEF1",65121
"PRAME family member 2","PRAMEF2",65122
"integrator complex subunit 3","INTS3",65123
"sosondowah ankyrin repeat domain family member C","SOWAHC",65124
"WNK lysine deficient protein kinase 1","WNK1",65125
"protocadherin-related 15","PCDH15",65217
"NAD kinase","NADK",65220
"zinc finger protein 643","ZNF643",65243
"spermatogenesis associated, serine-rich 2","SPATS2",65244
"zinc finger, SWIM-type containing 4","ZSWIM4",65249
"chromosome 5 open reading frame 42","C5orf42",65250
"zinc finger protein 649","ZNF649",65251
"metallophosphoesterase 1","MPPE1",65258
"Sel1 repeat containing 1","SELRC1",65260
"pyrroline-5-carboxylate reductase-like","PYCRL",65263
"ubiquitin-conjugating enzyme E2Z","UBE2Z",65264
"chromosome 8 open reading frame 33","C8orf33",65265
"WNK lysine deficient protein kinase 4","WNK4",65266
"WNK lysine deficient protein kinase 3","WNK3",65267
"WNK lysine deficient protein kinase 2","WNK2",65268
"serine/threonine kinase 33","STK33",65975
"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3","PLEKHA3",65977
"phosphatase and actin regulator 4","PHACTR4",65979
"bromodomain containing 9","BRD9",65980
"caprin family member 2","CAPRIN2",65981
"zinc finger and SCAN domain containing 18","ZSCAN18",65982
"GRAM domain containing 3","GRAMD3",65983
"acetoacetyl-CoA synthetase","AACS",65985
"zinc finger and BTB domain containing 10","ZBTB10",65986
"potassium channel tetramerisation domain containing 14","KCTD14",65987
"zinc finger protein 747","ZNF747",65988
"delta-like 2 homolog (Drosophila)","DLK2",65989
"family with sequence similarity 173, member A","FAM173A",65990
"FUN14 domain containing 2","FUNDC2",65991
"DDRGK domain containing 1","DDRGK1",65992
"mitochondrial ribosomal protein S34","MRPS34",65993
"CENPB DNA-binding domains containing 1 pseudogene","MGC2752",65996
"RAS-like, family 11, member B","RASL11B",65997
"chromosome 11 open reading frame 95","C11orf95",65998
"leucine rich repeat containing 61","LRRC61",65999
"transmembrane protein 108","TMEM108",66000
"cytochrome P450, family 4, subfamily F, polypeptide 12","CYP4F12",66002
"Ly6/neurotoxin 1","LYNX1",66004
"chitinase domain containing 1","CHID1",66005
"trafficking protein, kinesin binding 2","TRAK2",66008
"solute carrier family 2 (facilitated glucose transporter), member 11","SLC2A11",66035
"myotubularin related protein 9","MTMR9",66036
"bol, boule-like (Drosophila)","BOLL",66037
"dual specificity phosphatase 26 (putative)","DUSP26",78986
"cysteine-rich with EGF-like domains 1","CRELD1",78987
"mitochondrial ribosomal protein 63","MRP63",78988
"collectin sub-family member 11","COLEC11",78989
"OTU domain, ubiquitin aldehyde binding 2","OTUB2",78990
"prenylcysteine oxidase 1 like","PCYOX1L",78991
"Yip1 domain family, member 2","YIPF2",78992
"proline rich 14","PRR14",78994
"chromosome 17 open reading frame 53","C17orf53",78995
"chromosome 7 open reading frame 49","C7orf49",78996
"ganglioside induced differentiation associated protein 1-like 1","GDAP1L1",78997
"RHPN1 antisense RNA 1 (non-protein coding)","RHPN1-AS1",78998
"leucine rich repeat and fibronectin type III domain containing 4","LRFN4",78999
"chromosome 1 open reading frame 135","C1orf135",79000
"vitamin K epoxide reductase complex, subunit 1","VKORC1",79001
"chromosome 19 open reading frame 43","C19orf43",79002
"MIS12, MIND kinetochore complex component, homolog (S. pombe)","MIS12",79003
"CUE domain containing 2","CUEDC2",79004
"sodium channel modifier 1","SCNM1",79005
"meteorin, glial cell differentiation regulator","METRN",79006
"dysbindin (dystrobrevin binding protein 1) domain containing 1","DBNDD1",79007
"DEAD (Asp-Glu-Ala-Asp) box polypeptide 50","DDX50",79009
"CaM kinase-like vesicle-associated","CAMKV",79012
"uncharacterized LOC79015","LOC79015",79015
"DET1 and DDB1 associated 1","DDA1",79016
"gamma-glutamylcyclotransferase","GGCT",79017
"chromosome 17 open reading frame 39","C17orf39",79018
"centromere protein M","CENPM",79019
"chromosome 7 open reading frame 25","C7orf25",79020
"transmembrane protein 106C","TMEM106C",79022
"nucleoporin 37kDa","NUP37",79023
"chromosome 13 open reading frame 44","C13orf44",79024
"chromosome 20 open reading frame 195","C20orf195",79025
"AHNAK nucleoprotein","AHNAK",79026
"zinc finger protein 655","ZNF655",79027
"spermatogenesis associated 5-like 1","SPATA5L1",79029
"phosducin-like 3","PDCL3",79031
"ERI1 exoribonuclease family member 3","ERI3",79033
"chromosome 7 open reading frame 26","C7orf26",79034
"nucleic acid binding protein 2","NABP2",79035
"KxDL motif containing 1","KXD1",79036
"poliovirus receptor related immunoglobulin domain containing","PVRIG",79037
"zinc finger, FYVE domain containing 21","ZFYVE21",79038
"DEAD (Asp-Glu-Ala-Asp) box polypeptide 54","DDX54",79039
"transmembrane protein 38A","TMEM38A",79041
"tRNA splicing endonuclease 34 homolog (S. cerevisiae)","TSEN34",79042
"potassium channel tetramerisation domain containing 15","KCTD15",79047
"SECIS binding protein 2","SECISBP2",79048
"nucleolar complex associated 4 homolog (S. cerevisiae)","NOC4L",79050
"asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)","ALG8",79053
"transient receptor potential cation channel, subfamily M, member 8","TRPM8",79054
"proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)","PRRG4",79056
"proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)","PRRG3",79057
"alveolar soft part sarcoma chromosome region, candidate 1","ASPSCR1",79058
"transmembrane protein 223","TMEM223",79064
"autophagy related 9A","ATG9A",79065
"methyltransferase like 16","METTL16",79066
"fat mass and obesity associated","FTO",79068
"KDEL (Lys-Asp-Glu-Leu) containing 1","KDELC1",79070
"ELOVL fatty acid elongase 6","ELOVL6",79071
"FAST kinase domains 3","FASTKD3",79072
"transmembrane protein 109","TMEM109",79073
"chromosome 2 open reading frame 49","C2orf49",79074
"defective in sister chromatid cohesion 1 homolog (S. cerevisiae)","DSCC1",79075
"dCTP pyrophosphatase 1","DCTPP1",79077
"chromosome 1 open reading frame 50","C1orf50",79078
"coiled-coil domain containing 86","CCDC86",79080
"chromosome 11 open reading frame 48","C11orf48",79081
"melanophilin","MLPH",79083
"WD repeat domain 77","WDR77",79084
"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23","SLC25A23",79085
"chromosome 19 open reading frame 42","C19orf42",79086
"asparagine-linked glycosylation 12, alpha-1,6-mannosyltransferase homolog (S. cerevisiae)","ALG12",79087
"zinc finger protein 426","ZNF426",79088
"transmembrane and ubiquitin-like domain containing 2","TMUB2",79089
"trafficking protein particle complex 6A","TRAPPC6A",79090
"methyltransferase like 22","METTL22",79091
"caspase recruitment domain family, member 14","CARD14",79092
"ChaC, cation transport regulator homolog 1 (E. coli)","CHAC1",79094
"chromosome 9 open reading frame 16","C9orf16",79095
"chromosome 11 open reading frame 49","C11orf49",79096
"tripartite motif containing 48","TRIM48",79097
"chromosome 1 open reading frame 116","C1orf116",79098
"uncharacterized LOC79100","MGC4473",79100
"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa","TAF1D",79101
"ring finger protein 26","RNF26",79102
"mitogen-activated protein kinase associated protein 1","MAPKAP1",79109
"DEXH (Asp-Glu-X-His) box polypeptide 58","DHX58",79132
"NADH dehydrogenase (ubiquinone) complex I, assembly factor 5","NDUFAF5",79133
"transmembrane protein 185B","TMEM185B",79134
"apolipoprotein O","APOO",79135
"lymphocyte antigen 6 complex, locus G6E (pseudogene)","LY6G6E",79136
"family with sequence similarity 134, member A","FAM134A",79137
"derlin 1","DERL1",79139
"coiled-coil domain containing 28B","CCDC28B",79140
"PHD finger protein 23","PHF23",79142
"membrane bound O-acyltransferase domain containing 7","MBOAT7",79143
"pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish)","PPDPF",79144
"coiled-coil-helix-coiled-coil-helix domain containing 7","CHCHD7",79145
"fukutin related protein","FKRP",79147
"matrix metallopeptidase 28","MMP28",79148
"zinc finger and SCAN domain containing 5A","ZSCAN5A",79149
"fatty acid 2-hydroxylase","FA2H",79152
"glycerophosphodiester phosphodiesterase domain containing 3","GDPD3",79153
"dehydrogenase/reductase (SDR family) member 11","DHRS11",79154
"TNFAIP3 interacting protein 2","TNIP2",79155
"pleckstrin homology domain containing, family F (with FYVE domain) member 1","PLEKHF1",79156
"major facilitator superfamily domain containing 11","MFSD11",79157
"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits","GNPTAB",79158
"nucleolar protein 12","NOL12",79159
"uncharacterized MGC4294","MGC4294",79160
"chromosome 7 open reading frame 23","C7orf23",79161
"leukocyte receptor cluster (LRC) member 1","LENG1",79165
"leukocyte immunoglobulin-like receptor pseudogene 2","LILRP2",79166
"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6","LILRA6",79168
"chromosome 1 open reading frame 35","C1orf35",79169
"proline rich 15-like","PRR15L",79170
"RNA binding motif protein 42","RBM42",79171
"centromere protein O","CENPO",79172
"chromosome 19 open reading frame 57","C19orf57",79173
"cysteine-rich with EGF-like domains 2","CRELD2",79174
"zinc finger protein 343","ZNF343",79175
"F-box and leucine-rich repeat protein 15","FBXL15",79176
"zinc finger protein 576","ZNF576",79177
"thiamine triphosphatase","THTPA",79178
"EF-hand domain family, member D2","EFHD2",79180
"tocopherol (alpha) transfer protein-like","TTPAL",79183
"BRCA1/BRCA2-containing complex, subunit 3","BRCC3",79184
"fibronectin type III and SPRY domain containing 1","FSD1",79187
"transmembrane protein 43","TMEM43",79188
"iroquois homeobox 6","IRX6",79190
"iroquois homeobox 3","IRX3",79191
"iroquois homeobox 1","IRX1",79192
"THO complex 6 homolog (Drosophila)","THOC6",79228
"zinc finger protein 557","ZNF557",79230
"membrane metallo-endopeptidase-like 1","MMEL1",79258
"DDB1 and CUL4 associated factor 10","DCAF10",79269
"olfactory receptor, family 13, subfamily A, member 1","OR13A1",79290
"olfactory receptor, family 5, subfamily H, member 6","OR5H6",79295
"olfactory receptor, family 5, subfamily H, member 2","OR5H2",79310
"olfactory receptor, family 7, subfamily E, member 91 pseudogene","OR7E91P",79315
"olfactory receptor, family 4, subfamily K, member 5","OR4K5",79317
"olfactory receptor, family 51, subfamily G, member 1","OR51G1",79324
"olfactory receptor, family 51, subfamily B, member 4","OR51B4",79339
"olfactory receptor, family 51, subfamily B, member 2","OR51B2",79345
"REM2 and RAB-like small GTPase 1","RSG1",79363
"ZXD family zinc finger C","ZXDC",79364
"basic helix-loop-helix family, member e41","BHLHE41",79365
"high mobility group nucleosome binding domain 5","HMGN5",79366
"Fc receptor-like 2","FCRL2",79368
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4","B3GNT4",79369
"BCL2-like 14 (apoptosis facilitator)","BCL2L14",79370
"NADPH oxidase, EF-hand calcium binding domain 5","NOX5",79400
"galactosidase, beta 1-like","GLB1L",79411
"kringle containing transmembrane protein 2","KREMEN2",79412
"zinc finger, BED-type containing 2","ZBED2",79413
"leucine rich repeat and fibronectin type III domain containing 3","LRFN3",79414
"chromosome 17 open reading frame 62","C17orf62",79415
"HAUS augmin-like complex, subunit 3","HAUS3",79441
"leucine rich repeat containing 2","LRRC2",79442
"FYVE and coiled-coil domain containing 1","FYCO1",79443
"baculoviral IAP repeat containing 7","BIRC7",79444
"WD repeat domain 25","WDR25",79446
"chromosome 16 open reading frame 53","C16orf53",79447
"UL16 binding protein 3","ULBP3",79465
"olfactory receptor, family 52, subfamily N, member 1","OR52N1",79473
"olfactory receptor, family 4, subfamily F, member 5","OR4F5",79501
"olfactory receptor, family 2, subfamily A, member 4","OR2A4",79541
"olfactory receptor, family 4, subfamily K, member 1","OR4K1",79544
"family with sequence similarity 65, member A","FAM65A",79567
"chromosome 2 open reading frame 47","C2orf47",79568
"Na+/K+ transporting ATPase interacting 1","NKAIN1",79570
"GRIP and coiled-coil domain containing 1","GCC1",79571
"ATPase type 13A3","ATP13A3",79572
"tetratricopeptide repeat domain 13","TTC13",79573
"EPS8-like 3","EPS8L3",79574
"abhydrolase domain containing 8","ABHD8",79575
"NFKB activating protein","NKAP",79576
"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)","CDC73",79577
"solute carrier family 52, riboflavin transporter, member 2","SLC52A2",79581
"sperm associated antigen 16","SPAG16",79582
"transmembrane protein 231","TMEM231",79583
"coronin 7","CORO7",79585
"chondroitin polymerizing factor","CHPF",79586
"cysteinyl-tRNA synthetase 2, mitochondrial (putative)","CARS2",79587
"ring finger protein 128, E3 ubiquitin protein ligase","RNF128",79589
"mitochondrial ribosomal protein L24","MRPL24",79590
"chromosome 10 open reading frame 76","C10orf76",79591
"mitochondrial E3 ubiquitin protein ligase 1","MUL1",79594
"Sin3A-associated protein, 130kDa","SAP130",79595
"ring finger protein 219","RNF219",79596
"centrosomal protein 97kDa","CEP97",79598
"tectonic family member 1","TCTN1",79600
"adiponectin receptor 2","ADIPOR2",79602
"ceramide synthase 4","CERS4",79603
"piggyBac transposable element derived 5","PGBD5",79605
"family with sequence similarity 118, member B","FAM118B",79607
"resistance to inhibitors of cholinesterase 3 homolog (C. elegans)","RIC3",79608
"methyltransferase like 21D","METTL21D",79609
"acyl-CoA synthetase short-chain family member 3","ACSS3",79611
"N(alpha)-acetyltransferase 16, NatA auxiliary subunit","NAA16",79612
"transmembrane and coiled-coil domains 7","TMCO7",79613
"cyclin J-like","CCNJL",79616
"homeobox containing 1","HMBOX1",79618
"ribonuclease H2, subunit B","RNASEH2B",79621
"small nuclear ribonucleoprotein 25kDa (U11/U12)","SNRNP25",79622
"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)","GALNT14",79623
"chromosome 6 open reading frame 211","C6orf211",79624
"neuron-derived neurotrophic factor","NDNF",79625
"tumor necrosis factor, alpha-induced protein 8-like 2","TNFAIP8L2",79626
"opioid growth factor receptor-like 1","OGFRL1",79627
"SH3 domain and tetratricopeptide repeats 2","SH3TC2",79628
"occludin/ELL domain containing 1","OCEL1",79629
"chromosome 1 open reading frame 54","C1orf54",79630
"elongation factor Tu GTP binding domain containing 1","EFTUD1",79631
"family with sequence similarity 184, member A","FAM184A",79632
"FAT tumor suppressor homolog 4 (Drosophila)","FAT4",79633
"secernin 3","SCRN3",79634
"coiled-coil domain containing 121","CCDC121",79635
"armadillo repeat containing 7","ARMC7",79637
"transmembrane protein 53","TMEM53",79639
"chromosome 22 open reading frame 46","C22orf46",79640
"rogdi homolog (Drosophila)","ROGDI",79641
"arylsulfatase family, member J","ARSJ",79642
"charged multivesicular body protein 6","CHMP6",79643
"steroid 5 alpha-reductase 3","SRD5A3",79644
